plan,generation_rate_per_kwh,delivery_rate_per_kwh,surcharges_per_kwh,price_per_kwh,emissions_g_per_kwh,Biomass & Biowaste,Geothermal,Eligible Hydrelectric,Solar,Wind,Renewable_Others,Renewable_Total,Coal,Large Hydroelectric,Natural Gas,Nuclear,Non-Renewable_Others,Unspecified Power,Non-Renewable_Total,Total
Plan A,,,,0.42,60,0.01,0,0.01,0.22,0.31,0,0.55,0,0.15,0,0.25,0,0.04,0.45,1
Plan B,,,,0.55,40,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Plan C,,,,0.34,55,0.03,0,0.03,0.2,0.06,0,0.33,0,0.14,0,0.53,0,0,0.67,1
Plan D,,,,0.18,100,0.02,0,0.01,0.59,0.03,0,0.66,0,0.07,0,0.27,0,0,0.35,1
SJCE GreenSource,0.142,0.291,0.008,0.44,28.975,0.01,0,0.01,0.22,0.31,0,0.55,0,0.15,0,0.25,0,0.04,0.45,1
SJCE Total Green,0.152,0.291,0.008,0.45,40.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
PG&E Base Plan,0.179,0.291,-0.023,0.446,20.1,0.03,0,0.03,0.2,0.06,0,0.33,0,0.14,0,0.53,0,0,0.67,1
PG&E 50% Solar Choice,0.18,0.291,0.009,0.48,33.61,0.02,0,0.01,0.59,0.03,0,0.66,0,0.07,0,0.27,0,0,0.35,1
SVCE GreenStart,0.138,0.291,0.012,0.44,26.38,0.03,0.14,0,0.12,0.08,0,0.37,0,0.38,0,0.25,0,0,0.63,1
SVCE GreenPrime,0.15,0.291,0.012,0.453,50.2,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,1
Ava Bright Choice,0.14,0.291,0.009,0.439,38.44375,0.13,0.02,0.03,0.06,0.32,0,0.55,0,0.34,0,0,0,0.11,0.45,1
Ava Bright Choice,0.15,0.291,0.009,0.45,36.16,0,0,0,0.68,0.32,0,1,0,0,0,0,0,0,0,1
CleanPowerSF SuperGreen,0.162,0.291,0.011,0.463,29.5,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,1
CleanPowerSF Green (E-1),0.152,0.291,0.011,0.453,31.13,0.01,0.18,0.01,0.26,0.11,0,0.57,0,0.44,0,0,0,0,0.44,1
Sonoma Clean Power CleanStart,0.135,0.291,0.012,0.438,46.225,0.09,0.18,0.01,0.08,0.15,0,0.51,0,0.36,0,0.01,0,0.12,0.49,1
Sonoma Clean Power EverGreen,0.16,0.291,0.012,0.463,39.2,0,0.88,0,0.12,0,0,1,0,0,0,0,0,0,0,1
